Datetime,Target
1689665880,40595481
1689665940,41909167
1689666000,40765853
1689666060,39064751
1689666120,41046965
1689666180,43659325
1689666240,44212132
1689666300,46275181
1689666360,46511589
1689666420,45014446
1689666480,42700554
1689666540,41419474
1689666600,41310214
1689666660,43555383
1689666720,40539671
1689666780,40091776
1689666840,41806111
1689666900,41255969
1689666960,40258245
1689667020,40210041
1689667080,42506043
1689667140,41191372
1689667200,39828138
1689667260,41259868
1689667320,39448544
1689667380,40641839
1689667440,40986540
1689667500,43291693
1689667560,43269950
1689667620,43767642
1689667680,42714390
1689667740,41401639
1689667800,40455486
1689667860,41300866
1689667920,40535403
1689667980,40113346
1689668040,41445477
1689668100,46548107
1689668160,42148302
1689668220,41430542
1689668280,43174730
1689668340,41847372
1689668400,40340798
1689668460,41293952
1689668520,42022040
1689668580,39809334
1689668640,39744834
1689668700,42767176
1689668760,39139663
1689668820,39901455
1689668880,39961171
1689668940,39985220
1689669000,40755364
1689669060,41644957
1689669120,41516509
1689669180,43248453
1689669240,42459895
1689669300,40531115
1689669360,40806431
1689669420,42050538
1689669480,40122276
1689669540,41458916
1689669600,42051737
1689669660,44190417
1689669720,44028042
1689669780,43948990
1689669840,42780600
1689669900,41853225
1689669960,41317768
1689670020,42379190
1689670080,44746933
1689670140,42948780
1689670200,43402164
1689670260,42745332
1689670320,41281078
1689670380,42477554
1689670440,42610247
1689670500,41557433
1689670560,43088189
1689670620,46115509
1689670680,42894890
1689670740,43177783
1689670800,47213833
1689670860,46455678
1689670920,48608870
1689670980,49049930
1689671040,47100672
1689671100,48940897
1689671160,48450032
1689671220,45945703
1689671280,45267404
1689671340,45540049
1689671400,44161014
1689671460,47371159
1689671520,45669460
1689671580,44850517
1689671640,45723316
1689671700,46010151
1689671760,44342527
1689671820,42622612
1689671880,45153028
1689671940,43873475
1689672000,43927251
1689672060,44157830
1689672120,43271296
1689672180,43077700
1689672240,47999204
1689672300,49300757
1689672360,43931424
1689672420,44329833
1689672480,42418793
1689672540,43022654
1689672600,43656827
1689672660,48419713
1689672720,46913068
1689672780,46615221
